"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","256","Get file with incorrect file id","LMS service","Sat Dec 13 15:14:03 UTC 2025","passed","Sat Dec 13 15:14:03 UTC 2025","Validate entity","Files","",""
"","557","Create user","LMS service","Sat Dec 13 15:14:03 UTC 2025","passed","Sat Dec 13 15:14:04 UTC 2025","Create entity","Users","",""
"","525","Create user","LMS service","Sat Dec 13 15:14:02 UTC 2025","passed","Sat Dec 13 15:14:03 UTC 2025","Create entity","Users","",""
"","28","Update course","LMS service","Sat Dec 13 15:13:56 UTC 2025","passed","Sat Dec 13 15:13:56 UTC 2025","Update entity","Courses","",""
"","12","Get user me","LMS service","Sat Dec 13 15:14:04 UTC 2025","passed","Sat Dec 13 15:14:04 UTC 2025","Get entity","Users","",""
"","20","Create file","LMS service","Sat Dec 13 15:14:00 UTC 2025","passed","Sat Dec 13 15:14:00 UTC 2025","Create entity","Files","",""
"","18","Get file","LMS service","Sat Dec 13 15:14:01 UTC 2025","passed","Sat Dec 13 15:14:01 UTC 2025","Get entity","Files","",""
"","255","Create file with empty directory","LMS service","Sat Dec 13 15:14:02 UTC 2025","passed","Sat Dec 13 15:14:02 UTC 2025","Validate entity","Files","",""
"","22","Delete file","LMS service","Sat Dec 13 15:14:01 UTC 2025","passed","Sat Dec 13 15:14:01 UTC 2025","Delete entity","Files","",""
"","29","Get exercise","LMS service","Sat Dec 13 15:13:59 UTC 2025","passed","Sat Dec 13 15:13:59 UTC 2025","Get entity","Exercises","",""
"","524","Create user","LMS service","Sat Dec 13 15:14:03 UTC 2025","passed","Sat Dec 13 15:14:03 UTC 2025","Create entity","Users","",""
"","21","Create exercise","LMS service","Sat Dec 13 15:13:58 UTC 2025","passed","Sat Dec 13 15:13:58 UTC 2025","Create entity","Exercises","",""
"","550","Login with correct email and password","LMS service","Sat Dec 13 15:13:55 UTC 2025","passed","Sat Dec 13 15:13:55 UTC 2025","Login","Authentication","",""
"","28","Create course","LMS service","Sat Dec 13 15:13:56 UTC 2025","passed","Sat Dec 13 15:13:56 UTC 2025","Create entity","Courses","",""
"","27","Get courses","LMS service","Sat Dec 13 15:13:55 UTC 2025","passed","Sat Dec 13 15:13:55 UTC 2025","Get entities","Courses","",""
"","18","Get exercises","LMS service","Sat Dec 13 15:14:00 UTC 2025","passed","Sat Dec 13 15:14:00 UTC 2025","Get entities","Exercises","",""
"","27","Update exercise","LMS service","Sat Dec 13 15:13:58 UTC 2025","passed","Sat Dec 13 15:13:58 UTC 2025","Update entity","Exercises","",""
"","18","Delete exercise","LMS service","Sat Dec 13 15:13:59 UTC 2025","passed","Sat Dec 13 15:13:59 UTC 2025","Delete entity","Exercises","",""
"","24","Create file with empty filename","LMS service","Sat Dec 13 15:14:02 UTC 2025","passed","Sat Dec 13 15:14:02 UTC 2025","Validate entity","Files","",""
